timestamp,detected_object,confidence_level,spray_status
"10/21/2025, 10:04:15 PM",snail-infested crops:71.6%,71.6,off
"10/21/2025, 10:04:18 PM",snail-infested crops:71.6%,71.6,off
"10/21/2025, 10:04:20 PM",snail-infested crops:71.6%,71.6,off
"10/21/2025, 10:04:22 PM",snail-infested crops:85.9%,85.9,off
"10/21/2025, 10:04:27 PM",snail-infested crops:70.9%,70.9,off
"10/21/2025, 10:04:28 PM",snail-infested crops:81.7%,81.7,off
"10/21/2025, 10:17:48 PM",snail-infested crops:63.7%,63.7,off
"10/21/2025, 10:18:32 PM",stressed crops:73.5%,73.5,off
"10/21/2025, 10:18:50 PM",snail-infested crops:60.2%,60.2,off
"10/21/2025, 10:18:57 PM",snail-infested crops:66.0%,66,off
"10/21/2025, 10:19:02 PM",snail-infested crops:55.7%,55.7,off
"10/21/2025, 10:19:07 PM",snail-infested crops:71.8%,71.8,off
"10/21/2025, 10:19:10 PM",snail-infested crops:79.2%,79.2,off
"10/21/2025, 10:19:16 PM",snail-infested crops:72.4%,72.4,off
"10/21/2025, 10:19:24 PM",snail-infested crops:71.0%,71,off
"10/21/2025, 10:19:27 PM",snail-infested crops:68.9%,68.9,off
"10/21/2025, 10:19:29 PM",snail-infested crops:68.9%,68.9,off
"10/21/2025, 10:19:32 PM",snail-infested crops:79.3%,79.3,off
"10/21/2025, 10:19:35 PM",snail-infested crops:63.0%,63,off
"10/21/2025, 10:19:40 PM",snail-infested crops:56.1%,56.1,off
"10/21/2025, 10:19:42 PM",snail-infested crops:63.9%,63.9,off
"10/21/2025, 10:19:44 PM",snail-infested crops:60.7%,60.7,off
"10/21/2025, 10:19:47 PM",snail-infested crops:60.7%,60.7,off
"10/21/2025, 10:19:50 PM",snail-infested crops:57.9%,57.9,off
"10/21/2025, 10:19:52 PM",dead crops:62.7%,62.7,off
"10/21/2025, 10:19:55 PM",dead crops:51.5%,51.5,off
"10/21/2025, 10:20:09 PM",healthy crops:51.9%,51.9,off
"10/21/2025, 10:20:17 PM",snail-infested crops:64.6%,64.6,off
"10/21/2025, 10:20:19 PM",snail-infested crops:68.4%,68.4,off
"10/21/2025, 10:20:22 PM",snail-infested crops:68.4%,68.4,off
"10/22/2025, 9:53:46 AM",snail-infested crops:69.5%,69.5,off
"10/22/2025, 9:53:58 AM",snail-infested crops:77.1%,77.1,off
"10/22/2025, 9:53:59 AM",snail-infested crops:92.3%,92.3,off
"10/22/2025, 9:54:01 AM",snail-infested crops:86.0%,86,off
"10/22/2025, 9:54:04 AM",snail-infested crops:94.0%,94,off
"10/22/2025, 9:54:06 AM",snail-infested crops:91.5%,91.5,off
"10/22/2025, 9:54:09 AM",snail-infested crops:93.1%,93.1,off
"10/22/2025, 9:54:11 AM",snail-infested crops:90.6%,90.6,off
"10/22/2025, 9:54:14 AM",dead crops:55.9%,55.9,off
"10/22/2025, 9:54:16 AM",snail-infested crops:85.0%,85,off
"10/22/2025, 9:54:19 AM",snail-infested crops:84.7%,84.7,off
"10/22/2025, 9:54:22 AM",snail-infested crops:90.3%,90.3,off
"10/22/2025, 9:54:24 AM",snail-infested crops:93.9%,93.9,off
"10/22/2025, 9:54:26 AM",snail-infested crops:92.3%,92.3,off
"10/22/2025, 9:54:29 AM",snail-infested crops:91.2%,91.2,off
"10/22/2025, 9:54:31 AM",snail-infested crops:94.3%,94.3,off
"10/22/2025, 9:54:34 AM",snail-infested crops:84.1%,84.1,off
"10/22/2025, 9:54:36 AM",snail-infested crops:88.2%,88.2,off
"10/22/2025, 9:54:39 AM","snail-infested crops:61.0%,stressed crops:55.4%",61,off
"10/22/2025, 9:54:56 AM",snail-infested crops:55.6%,55.6,off
